Kernel,Runtime_ms,GFLOP_per_s,FLOPs,Min_Bytes,Algorithmic_AI_FLOP_per_Byte,Instructions,Loads,Stores,L1D_Miss_Rate,LLC_Miss_Rate
GEMM S=128,36.639788,80.58971345576563,2952790016,50069504,58.973821989528794,1297194070,554698945,184911043,0.09180594048214807,0.008468755798095385
GEMM S=512,146.677744,80.52455499997328,11811160064,61865984,190.91525423728814,5188762529,2218791729,739641665,0.09174846834258035,0.002615693363356682
GEMV,1.335871,17.268637465743325,23068672,46168064,0.4996673024885774,9034920,2983210,1445430,0.14351978076522445,0.976168418319252
Attention S=128,0.372925,11.510646912918148,4292608,393216,10.916666666666666,4868267,991020,206008,0.008548479977867623,0.30247919704898346
Attention S=512,1.167686,58.818661866289396,68681728,4718592,14.555555555555555,77564075,15775788,3201592,0.08886998909580804,0.45962322353200397
